university_title_full,course_local_id,course_title_full,course_level,course_track,course_semester,course_credits,course_credits_type,course_link_descrip
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,TIA,Informatic Technologies for Automation,Master,Informatics Engineering,Spring,3,ECTS,https://www.fib.upc.edu/en/studies/masters/master-informatics-engineering/curriculum/syllabus/TIA-MEI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,TMD,Data Mining Techniques,Master,Informatics Engineering,Fall,3,ECTS,https://www.fib.upc.edu/en/studies/masters/master-informatics-engineering/curriculum/syllabus/TMD-MEI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,ASM,Advanced Statistical Modelling,Master,Innovation and Research in Informatics,Fall,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/ASM-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,BDM,Big Data Management,Master,Innovation and Research in Informatics,Spring,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/BDM-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,BSG,Bioinformatics and Statistical Genetics,Master,Innovation and Research in Informatics,Fall,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/BSG-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,IR,Information Retrieval,Master,Innovation and Research in Informatics,Fall,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/IR-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,KMLMM,Kernel-Based Machine Learning and Multivariate Modelling,Master,Innovation and Research in Informatics,Fall,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/KMLMM-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,OTDM,Optimization Techniques for Data Mining,Master,Innovation and Research in Informatics,Fall,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/OTDM-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,SNLP,Statistical Natural Language Processing,Master,Innovation and Research in Informatics,,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/SNLP-MIRI
Universitat Politechnica de Catalunya Barcelonatech.FIB Facultat d'Informatica de Barcelona.,SOBI,Service Oriented Business Intelligence,Master,Innovation and Research in Informatics,,6,ECTS,https://www.fib.upc.edu/en/studies/masters/master-innovation-and-research-informatics/curriculum/syllabus/SOBI-MIRI
